,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
40,2026-01-25 13:01:00,LTC,S Base da LTA ,Entrada Errada,LONG,FECHADO,69.37,10,693.7,1,,2026-01-25 13:29:00,68.34,10,100.0,-10.3,-1.48,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.55,2026-01-25,-1.48,2026-01-25 13:29:00,-10.3
41,2026-01-25 15:08:00,XMR,4h sobrevenda com divergência nos RSI menores,OK,LONG,FECHADO,453.17,4,1812.68,1,,2026-01-26 06:54:00,462.21,2,50.0,18.1,2.0,2026-01-26 08:45:54,460.17,2,50.0,14.0,1.54,,,,0.0,0.0,0.0,1.45,2026-01-25,1.77,2026-01-26 08:45:54,32.1
42,2026-01-25 19:04:00,RIVER,5 Min sobrevenda,Stopado cedo - Medo de perder,LONG,FECHADO,73.504,2,147.008,1,,2026-01-25 19:56:00,73.611,2,100.0,0.2,0.14,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.12,2026-01-25,0.14,2026-01-25 19:56:00,0.2
43,2026-01-25 20:00:00,AXS,4h sobrevenda com divergência nos RSI menores,Stopado cedo - Medo de perder,LONG,FECHADO,1.991,100,199.1,1,,2026-01-25 21:26:00,1.931,100,100.0,-6.0,-3.01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.16,2026-01-25,-3.01,2026-01-25 21:26:00,-6.0
44,2026-01-28 11:00:00,DUSK,5 Min Base da acumulação,Stopado na continuação da queda,LONG,FECHADO,0.14075,2000,281.5,1,,2026-01-28 11:53:00,0.13958,2000,100.0,-2.3,-0.82,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.23,2026-01-28,-0.82,2026-01-28 11:53:00,-2.3
45,2026-01-28 13:44:00,RIVER,5 Min Canal de Baixa com divergencia no RSI,OK,LONG,FECHADO,47.458,10,474.58,1,,2026-01-28 13:55:00,49.06,2.5,25.0,4.0,3.37,2026-01-28 14:00:11,48.568,5,50.0,5.5,2.32,2026-01-28 14:19:02,50.181,2.5,25.0,6.8,5.73,0.38,2026-01-28,3.435,2026-01-28 14:19:02,16.3
46,2026-01-28 17:15:00,PIPPIN,5 Min Canal de Baixa com divergencia no RSI,Stopado na continuação da queda,LONG,FECHADO,0.39513,250,98.7825,1,,2026-01-28 21:49:00,0.39808,250,100.0,0.7,0.71,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.08,2026-01-28,0.71,2026-01-28 21:49:00,0.7
47,2026-01-29 09:20:00,CHZ,15 Min Sobrevenda com Suporte no D,OK,LONG,FECHADO,0.04849,"4,000",193.96,1,,2026-01-30 16:19:00,0.05004,"4,000",100.0,6.2,3.2,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.16,2026-01-29,3.2,2026-01-30 16:19:00,6.2
48,2026-01-29 16:57:00,BCH,RSI Extremos,Stopado na continuação da queda,LONG,FECHADO,555.75,2,1111.5,1,,2026-01-29 22:39:00,544.08,2,100.0,-23.3,-2.1,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.89,2026-01-29,-2.1,2026-01-29 22:39:00,-23.3
49,2026-01-29 22:50:00,BCH,RSI Extremos,OK,LONG,FECHADO,538.14,2,1076.28,1,,2026-01-30 10:30:00,547.68,2,100.0,19.1,1.77,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.86,2026-01-29,1.77,2026-01-30 10:30:00,19.1
50,2026-01-30 11:09:00,AXS,Base triangulo sem sobrevenda,Entrada Errada,LONG,FECHADO,2.133,150,319.95,1,,2026-01-30 11:57:00,2.136,150,100.0,0.5,0.16,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.26,2026-01-30,0.16,2026-01-30 11:57:00,0.5
