,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
61,2026-02-02 08:46:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,20.984,10,209.84,1,,2026-02-02 08:56:00,22.068,10,100.0,10.8,5.15,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.17,2026-02-02,5.15,2026-02-02 08:56:00,10.8
62,2026-02-02 11:00:00,RIVER,"1 Min Scalp, base padrão",Stopado cedo - Medo de perder,LONG,FECHADO,23.159,15,347.385,1,,2026-02-02 11:11:00,22.661,15,100.0,-7.5,-2.16,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.28,2026-02-02,-2.16,2026-02-02 11:11:00,-7.5
63,2026-02-02 11:23:00,RIVER,"1 Min Scalp, base padrão",Stopado no rompimento para baixo,LONG,FECHADO,23.1,15,346.5,1,,2026-02-02 11:31:00,22.571,15,100.0,-7.9,-2.28,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.28,2026-02-02,-2.28,2026-02-02 11:31:00,-7.9
64,2026-02-02 12:54:00,XMR,,Entrada Errada,LONG,FECHADO,407.8,2,815.6,1,,2026-02-02 13:03:00,407.91,2,100.0,0.2,0.02,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.65,2026-02-02,0.02,2026-02-02 13:03:00,0.2
65,2026-02-02 13:50:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,21.041,11,231.451,1,,2026-02-02 14:02:00,21.138,11,100.0,1.1,0.48,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.19,2026-02-02,0.48,2026-02-02 14:02:00,1.1
66,2026-02-02 14:03:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,18.848,38,716.224,1,,2026-02-02 14:43:00,19.393,38,100.0,20.7,2.89,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.57,2026-02-02,2.89,2026-02-02 14:43:00,20.7
67,2026-02-02 14:48:00,RIVER,"1 Min Scalp, base padrão",Stopado cedo - Medo de perder,LONG,FECHADO,18.9,10,189,1,,2026-02-02 15:01:00,17.53,10,100.0,-13.7,-7.25,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.15,2026-02-02,-7.25,2026-02-02 15:01:00,-13.7
68,2026-02-02 15:45:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,19.534,5,97.67,1,,2026-02-02 15:48:00,19.638,5,100.0,0.5,0.51,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.08,2026-02-02,0.51,2026-02-02 15:48:00,0.5
69,2026-02-02 15:52:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,20.036,4,80.144,1,,2026-02-02 15:57:00,20.345,4,100.0,1.2,1.5,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.06,2026-02-02,1.5,2026-02-02 15:57:00,1.2
70,2026-02-02 16:06:00,RIVER,1/5 Min Scalp,Gerenciamento Errado,LONG,FECHADO,19.275,26,501.15,1,,2026-02-03 04:31:00,14.113,26,100.0,-134.2,-26.78,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4,2026-02-02,-26.78,2026-02-03 04:31:00,-134.2
71,2026-02-02 19:50:00,RIVER,"1 Min Scalp, base padrão",OK,SHORT,FECHADO,17.975,25,449.375,1,,2026-02-02 20:43:00,17.803,25,100.0,4.3,0.96,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.36,2026-02-02,0.96,2026-02-02 20:43:00,4.3
72,2026-02-02 21:30:00,RIVER,1/5 Min Scalp,OK,SHORT,FECHADO,18.18,10,181.8,1,,2026-02-02 21:35:00,17.849,10,100.0,3.3,1.82,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.15,2026-02-02,1.82,2026-02-02 21:35:00,3.3
73,2026-02-02 22:02:00,RIVER,1/5 Min Scalp,OK,SHORT,FECHADO,17.349,15,260.235,1,,2026-02-02 22:15:00,17.166,15,100.0,2.7,1.04,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.21,2026-02-02,1.04,2026-02-02 22:15:00,2.7
74,2026-02-02 22:16:00,RIVER,1/5 Min Scalp,OK,SHORT,FECHADO,17.066,10,170.66,1,,2026-02-02 22:19:00,16.816,10,100.0,2.5,1.46,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.14,2026-02-02,1.46,2026-02-02 22:19:00,2.5
75,2026-02-02 22:22:00,RIVER,1/5 Min Scalp,OK,SHORT,FECHADO,16.954,40,678.16,1,,2026-02-02 22:32:00,16.867,40,100.0,3.5,0.52,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.54,2026-02-02,0.52,2026-02-02 22:32:00,3.5
76,2026-02-02 22:34:00,RIVER,1/5 Min Scalp,OK,SHORT,FECHADO,16.763,40,670.52,1,,2026-02-02 22:39:00,16.543,40,100.0,8.8,1.31,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.54,2026-02-02,1.31,2026-02-02 22:39:00,8.8
