,DATAHORA,COIN,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,P1 PNL,P1 PNL %,P2 PNL,P2 PNL %,P3 PNL,P3 PNL %,P1 %,P2 %,P3 %,LAST_EXIT_DATE,FEES,TOTAL_PNL,TOTAL_PERCENT,DIA
49,2026-01-29 22:50:00,BCH,LONG,FECHADO,538.14,2,1076.28,19.1,1.77,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-30 10:30:00,0.86,19.1,1.77,2026-01-29
50,2026-01-30 11:09:00,AXS,LONG,FECHADO,2.133,150,319.95,0.5,0.16,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-30 11:57:00,0.26,0.5,0.16,2026-01-30
51,2026-01-30 15:20:00,PAXG,LONG,FECHADO,"4,803.55",0.05,240.1775,5.5,2.29,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-30 16:02:00,0.19,5.5,2.29,2026-01-30
52,2026-01-30 17:24:00,CHZ,LONG,FECHADO,0.04906,"5,000",245.3,-9.9,-4.04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-31 06:48:00,0.2,-9.9,-4.04,2026-01-30
53,2026-01-31 07:58:00,PENDLE,LONG,FECHADO,1.675,100,167.5,-1.1,-0.66,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-31 08:36:00,0.13,-1.1,-0.66,2026-01-31
54,2026-01-31 09:46:00,AXS,LONG,FECHADO,1.87,200,374,2.0,0.53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-31 11:57:00,0.3,2.0,0.53,2026-01-31
55,2026-01-31 10:43:00,BCH,LONG,FECHADO,529.72,1,529.72,-13.3,-2.51,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-31 11:45:00,0.42,-13.3,-2.51,2026-01-31
56,2026-02-01 17:18:00,RIVER,LONG,FECHADO,11.985,25,299.625,13.2,4.41,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-01 17:30:00,0.24,13.2,4.41,2026-02-01
57,2026-02-01 17:42:00,RIVER,LONG,FECHADO,12.2,25,305,-21.4,-7.02,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-01 17:47:00,0.24,-21.4,-7.02,2026-02-01
58,2026-02-01 17:58:00,RIVER,LONG,FECHADO,11.312,50,565.6,21.1,3.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-01 18:13:00,0.45,21.1,3.73,2026-02-01
59,2026-02-01 20:00:00,RIVER,LONG,FECHADO,10.81,10,108.1,5.8,5.37,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-01 20:03:00,0.09,5.8,5.37,2026-02-01
60,2026-02-02 08:24:00,RIVER,LONG,FECHADO,21.004,10,210.04,3.1,1.48,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-02 08:27:00,0.17,3.1,1.48,2026-02-02
61,2026-02-02 08:46:00,RIVER,LONG,FECHADO,20.984,10,209.84,10.8,5.15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-02-02 08:56:00,0.17,10.8,5.15,2026-02-02
